Ref,Val,Package,PosX,PosY,Rot,Side
"SW9","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",132.504466,-1.095534,-90.000000,top
"SW10","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",125.504466,12.904466,-90.000000,top
"SW10","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",83.460000,-118.940000,90.000000,top
"SW11","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",90.460000,-104.940000,90.000000,top
"SW11","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",118.504466,-1.095534,-90.000000,top
"SW12","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",97.460000,-118.940000,90.000000,top
"SW12","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",111.504466,12.904466,-90.000000,top
"SW13","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",111.460000,-118.940000,90.000000,top
"SW13","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",97.504466,12.904466,-90.000000,top
"SW14","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",90.504466,-1.095534,-90.000000,top
"SW14","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",118.460000,-104.940000,90.000000,top
"SW15","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",83.504466,12.904466,-90.000000,top
"SW15","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",125.460000,-118.940000,90.000000,top
"SW16","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",76.504466,-1.095534,-90.000000,top
"SW16","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",132.460000,-104.940000,90.000000,top
"SW17","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",139.460000,-118.940000,90.000000,top
"SW17","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",69.504466,12.904466,-90.000000,top
